id,season,date,time,competition,homeTeam,awayTeam,location,homeScore,awayScore,status,externalUrl
vw-h-2026-01,2026,2026-09-23,20:15,Volley-Wellness,Yverdon AG,Gimel Hommes,Salle de la Marive (sud),,,scheduled,
vw-h-2026-02,2026,2026-10-08,20:00,Volley-Wellness,Gimel Hommes,Prilly,Collège du Marais,,,scheduled,
vw-h-2026-03,2026,2026-11-03,20:00,Volley-Wellness,Pailly H,Gimel Hommes,Salle polyvalente,,,scheduled,
vw-h-2026-04,2026,2026-11-24,20:00,Volley-Wellness,VBC Sullens,Gimel Hommes,Grande Salle,,,scheduled,
vw-h-2026-05,2026,2026-12-17,20:00,Volley-Wellness,Gimel Hommes,Les Crasseux,Collège du Marais,,,scheduled,
vw-h-2026-06,2026,2027-01-22,20:00,Volley-Wellness,Penthalaz-Venoge,Gimel Hommes,Salle du Verger,,,scheduled,
vw-h-2026-07,2026,2027-02-04,20:00,Volley-Wellness,Gimel Hommes,Yverdon AG,Collège du Marais,,,scheduled,
vw-h-2026-08,2026,2027-02-22,20:00,Volley-Wellness,Prilly,Gimel Hommes,Collège de l'Union,,,scheduled,
vw-h-2026-09,2026,2027-03-11,20:00,Volley-Wellness,Gimel Hommes,Pailly H,Collège du Marais,,,scheduled,
vw-h-2026-10,2026,2027-04-22,20:00,Volley-Wellness,Gimel Hommes,VBC Sullens,Collège du Marais,,,scheduled,
vw-h-2026-11,2026,2027-05-13,20:00,Volley-Wellness,Les Crasseux,Gimel Hommes,Établissement scolaire Elisabeth de Portes,,,scheduled,
vw-h-2026-12,2026,2027-05-27,20:00,Volley-Wellness,Gimel Hommes,Penthalaz-Venoge,Collège du Marais,,,scheduled,
